Study,Outcome,Data Type,Timepoint,Primary?,Intervention Arm,Control Arm,N (Intervention),Events (Intervention),N (Control),Events (Control),Mean (Intervention),SD (Intervention),Median (Intervention),IQR Lower (Int),IQR Upper (Int),Mean (Control),SD (Control),Median (Control),IQR Lower (Con),IQR Upper (Con),Effect Size,95% CI Lower,95% CI Upper,Include? (Y / N / Note),Notes / Missed Outcomes
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age >=80 yr),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,28,6,39,4,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Time >4.5 to 9.0 hr),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,59,20,54,13,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Time >9.0 to 24.0 hr),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,104,38,114,29,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Stroke on awakening),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,101,29,84,19,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Male),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,183,67,167,43,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Female),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,81,20,85,18,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: NIHSS less than 10),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,113,55,107,41,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: NIHSS 10 or greater),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,151,32,145,20,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: internal carotid artery occlusion),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,87,25,84,23,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: M1 segment of middle cerebral artery occlusion),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,119,39,130,30,,,,,,,,,,,,,,Y,
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: M2 segment of middle cerebral artery occlusion),Dichotomous,90 days,,Tenecteplase,Standard Medical Treatment,58,23,38,8,,,,,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,Y,
